Properti_Name,Price,Lokasi,Detail
SHM Cash KREDIT BANK APARTEMEN KALIBATA CITY RESIDEN GREEN PALACE,Rp 255.000.000,"Pancoran, Jakarta Selatan",2 KT - 1 KM - 33 m2
rumah 2 lantai jalan besar di pondok indah jakarta selatan shm,Rp 17.500.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 450 m2
"Rumah Tua Hitung Tanah di Cilandak, Jakarta Selatan",Rp 25.000.000,"Cilandak, Jakarta Selatan",6 KT - 5 KM - 365 m2
jual cepat Town house concept villa bali kawasan pejaten barat,Rp 14.800.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 5 KM - 380 m2
jual cepat Town house concept villa bali kawasan pejaten barat,Rp 14.800.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 5 KM - 380 m2
jual cepat Town house concept villa bali kawasan pejaten barat,Rp 14.800.000.000,"Pasar Minggu, Jakarta Selatan",1 KT - 5 KM - 380 m2
dijual rumah brandnew di Senopati area kebayoran baru,Rp 35.000.000.000,"Kebayoran Baru, Jakarta Selatan",5 KT - 6 KM - 600 m2
dijual rumah mewah di jln Metro pondok indah Jakarta selatan,Rp 88.000.000.000,"Kebayoran Lama, Jakarta Selatan",8 KT - 7 KM - 1200 m2
dijual rumah bagus di kenanga,Rp 20.000.000.000,"Pasar Minggu, Jakarta Selatan",7 KT - 6 KM - 800 m2
dijual rumah mewah clasic di kebayoran lama Jakarta selatan,Rp 29.000.000.000,"Kebayoran Lama, Jakarta Selatan",7 KT - 6 KM - 1000 m2
dijual rumah mewah di kebayoran baru jakarta selatan,Rp 19.000.000.000,"Kebayoran Baru, Jakarta Selatan",4 KT - 5 KM - 380 m2
dijual rumah di Senopati area kebayoran baru jakarta selatan m,Rp 28.000.000.000,"Kebayoran Baru, Jakarta Selatan",7 KT - 6 KM - 400 m2
dijual rumah di pejaten barat kemang,Rp 19.000.000.000,"Pasar Minggu, Jakarta Selatan",6 KT - 5 KM - 1000 m2
Rumah 2 lantai dalam cluster  dekat pintu tol exit krukut &exil limo,Rp 550.000.000,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 52 m2
Dijual Apartemen 3BR di Grand ITC Permata Hijau,Rp 2.000.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 127 m2
"Dijual murah,Apartemen Kalibata city,green palace tower lotus",Rp 645.000.000,"Pancoran, Jakarta Selatan",3 KT - 1 KM - 52 m2
Dijual Rumah Smart Home 2 Lantai Daerah Pasar Minggu,Rp 3.700.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 180 m2
dijual rumah lama siap huni,Rp 31.000.000.000,"Jakarta Selatan, Jakarta D.K.I.",5 KT - 4 KM - 500 m2
dijual rumah lama siap huni di Ciranjang kebayoran baru,Rp 22.000.000.000,"Kebayoran Baru, Jakarta Selatan",6 KT - 5 KM - 240 m2
dijual rumah/guest house di kebayoran baru jakarta selatan,Rp 49.000.000.000,"Kebayoran Baru, Jakarta Selatan",10 KT - 9 KM - 1422 m2
Dijual rumah minimalis di Hang Jebat Kebayoran baru,Rp 31.000.000.000,"Kebayoran Baru, Jakarta Selatan",6 KT - 5 KM - 600 m2
